Country Name,Country Code,Indicator Name,Indicator Code,Attribute,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
St. Vincent and the Grenadines,364,Financial Markets Index,FD_FM_IX,Value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Vincent and the Grenadines,364,Financial Institutions Access Index,FD_FIA_IX,Value,0.3601795,0.3662254,0.3967497,0.4211197,0.3351554,0.3451838,0.3113238,0.3201773,0.3482409,0.3286887,0.2998427,0.3364968,0.3281874,0.3114269,0.3283457,0.3415716,0.3414879,0.3427393,0.3456507,0.3463212,0.3434514,0.3178867,0.3143562,0.3092459,0.3065309,0.3037745,0.3202229,0.3741162,0.3717462,0.3510677,0.3614978,0.3594175,0.3266092,0.3858793,0.3838601
St. Vincent and the Grenadines,364,Financial Institutions Efficiency Index,FD_FIE_IX,Value,0.7398615,0.7398615,0.7888734,0.8037987,0.7258505,0.7276685,0.699693,0.6988196,0.7251397,0.6854823,0.6456293,0.6816707,0.6722568,0.6455671,0.659884,0.6591352,0.6430386,0.6307229,0.6284493,0.6408496,0.6175311,0.5848953,0.6125447,0.6102912,0.6178085,0.6131243,0.610302,0.6088721,0.6201356,0.5560703,0.5553955,0.5571378,0.5530477,0.5513033,0.5545058
St. Vincent and the Grenadines,364,Financial Markets Depth Index,FD_FMD_IX,Value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Vincent and the Grenadines,364,Financial Markets Access Index,FD_FMA_IX,Value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Vincent and the Grenadines,364,Financial Markets Efficiency Index,FD_FME_IX,Value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,366,Financial Development Index,FD_FD_IX,Value,0.0852485,0.0915804,0.1010555,0.1056744,0.1093433,0.118179,0.1217602,0.1179113,0.1188611,0.1252045,0.1110484,0.1190661,0.1172722,0.1056271,0.062446,0.0419355,0.0638941,0.0853255,0.128548,0.1216607,0.1134882,0.1174841,0.133742,0.1308565,0.1458865,0.157856,0.1555164,0.1676628,0.1737546,0.1805421,0.1848668,0.1857455,0.1923034,0.1974704,0.2039509
Suriname,366,Financial Institutions Index,FD_FI_IX,Value,0.1695004,0.1820903,0.2009296,0.2101134,0.2174084,0.2349765,0.2420971,0.2344443,0.2363327,0.2489454,0.2207987,0.2367404,0.2331735,0.2100194,0.1241621,0.0833807,0.1270414,0.1696535,0.2555932,0.2418992,0.2256497,0.2335949,0.2659205,0.2601832,0.2900677,0.3138667,0.3092148,0.3333657,0.3454781,0.3589737,0.3675725,0.3693196,0.3823589,0.3926324,0.4055176
Suriname,366,Financial Markets Index,FD_FM_IX,Value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,366,Financial Institutions Depth Index,FD_FID_IX,Value,0.1070504,0.1134927,0.1241812,0.1296471,0.1341518,0.1459539,0.1508939,0.1457654,0.1470419,0.1560567,0.1383652,0.1491602,0.1500509,0.1072356,0.0774366,0.0620181,0.123957,0.1611591,0.1978554,0.15511,0.1350631,0.1780871,0.1940585,0.167091,0.1963354,0.1978244,0.1482833,0.1645212,0.1685943,0.156702,0.1603694,0.1595835,0.1604785,0.1671851,0.171563
Suriname,366,Financial Institutions Access Index,FD_FIA_IX,Value,0.0747655,0.0792649,0.0867299,0.0905474,0.0936935,0.1019362,0.1053864,0.1018046,0.1026961,0.1089922,0.0966362,0.1041756,0.102778,0.1005912,0.0811385,0.0733258,0.0981795,0.1188071,0.168971,0.1562701,0.1542464,0.1595612,0.1845369,0.1791493,0.1991957,0.2123078,0.2361659,0.2569462,0.2549903,0.2870795,0.2998842,0.3048005,0.3275402,0.3469614,0.3697844
Suriname,366,Financial Institutions Efficiency Index,FD_FIE_IX,Value,0.3530236,0.3832107,0.4256266,0.4456325,0.4610956,0.4958282,0.5094944,0.4943316,0.4980442,0.5215564,0.4627111,0.4940031,0.481472,0.4639955,0.2188635,0.1021384,0.1315445,0.2016264,0.3884502,0.4227112,0.3958513,0.3511976,0.4085905,0.4369612,0.4725408,0.5388172,0.5601872,0.5931375,0.6352705,0.6538633,0.6603884,0.6604465,0.6723122,0.6700908,0.675901
Suriname,366,Financial Markets Depth Index,FD_FMD_IX,Value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,366,Financial Markets Access Index,FD_FMA_IX,Value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,366,Financial Markets Efficiency Index,FD_FME_IX,Value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,369,Financial Development Index,FD_FD_IX,Value,0.2142065,0.2331565,0.2294043,0.2464486,0.2447626,0.2258648,0.2552592,0.268294,0.2471761,0.2554898,0.2532344,0.2559036,0.2346136,0.2464215,0.2273468,0.2642643,0.2569446,0.3171535,0.2961004,0.2906471,0.2894859,0.2988368,0.3283005,0.3524359,0.3494941,0.3403128,0.3631632,0.3601318,0.30203,0.3645126,0.3126764,0.3302394,0.3523123,0.3358882,0.3402301
